政府統計コード	政府統計名	作成機関	担当部局課室名	統計の種類	提供周期	データ一覧	統計表ファイル	データベース	作成機関情報
00250002	登記統計	法務省	大臣官房司法法制部司法法制課	業務統計	月、年	?登録あり	〇	〇	?作成機関情報
00250003	検察統計調査	法務省	大臣官房司法法制部司法法制課	業務統計	月、年	?登録あり	〇	〇	?作成機関情報
00250004	婦人補導統計調査	法務省	大臣官房司法法制部司法法制課	業務統計	月、年	?登録あり	〇	〇	?作成機関情報
00250005	矯正統計調査	法務省	大臣官房司法法制部司法法制課	業務統計	月、年	?登録あり	〇	〇	?作成機関情報
00250006	少年矯正統計調査	法務省	大臣官房司法法制部司法法制課	業務統計	月、年	?登録あり	〇	〇	?作成機関情報
00250007	保護統計調査	法務省	大臣官房司法法制部司法法制課	業務統計	月、年	?登録あり	〇	〇	?作成機関情報
00250008	戸籍統計	法務省	民事局民事第一課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00250009	供託統計	法務省	民事局商事課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00250010	人権侵犯事件統計	法務省	人権擁護局調査救済課	業務統計	月、年	?登録あり	〇	〇	?作成機関情報
00250011	出入国管理統計	法務省	出入国在留管理庁在留管理支援部情報分析官	業務統計	月、年	?登録あり	〇	〇	?作成機関情報
00250012	在留外国人統計（旧登録外国人統計）	法務省	出入国在留管理庁在留管理支援部情報分析官	業務統計	半期	?登録あり	〇	〇	?作成機関情報
00250013	犯罪被害実態（暗数）調査	法務省	法務総合研究所研究部	一般統計	４年１回限り	?登録あり	〇	-	?作成機関情報
00250014	成年年齢引下げ後の成人式の実施に関する調査	法務省	民事局参事官室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00250015	成年年齢引下げ後の環境整備に関する浸透度についての調査	法務省	民事局参事官室	一般統計	１回限り	?登録あり	〇	-	?作成機関情報
00300100	海外在留邦人数調査統計	外務省	領事局政策課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00300300	海外邦人援護統計	外務省	領事局海外邦人安全課	業務統計	年	?登録あり	〇	-	?作成機関情報
00300400	旅券統計	外務省	領事局旅券課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00300500	ビザ（査証）発給統計	外務省	領事局外国人課	業務統計	年	?登録あり	〇	〇	?作成機関情報
00350100	国家公務員共済組合年金受給者実態調査	財務省	主計局給与共済課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00350110	連合会を組織する共済組合における医療状況実態統計調査	財務省	主計局給与共済課	一般統計	年	?登録あり	〇	〇	?作成機関情報
00350120	財政統計	財務省	主計局調査課	業務統計	年	?登録あり	〇	-	?作成機関情報
